"","age","sex","population"
"1",0,"female",1924145
"2",0,"male",2015150
"3",1,"female",1943534
"4",1,"male",2031718
"5",2,"female",1965150
"6",2,"male",2056625
"7",3,"female",1956281
"8",3,"male",2050474
"9",4,"female",1953782
"10",4,"male",2042001
"11",5,"female",1956268
"12",5,"male",2045050
"13",6,"female",1976331
"14",6,"male",2069201
"15",7,"female",1979376
"16",7,"male",2063003
"17",8,"female",1980666
"18",8,"male",2062172
"19",9,"female",2043456
"20",9,"male",2128715
"21",10,"female",2051237
"22",10,"male",2140682
"23",11,"female",2034143
"24",11,"male",2123819
"25",12,"female",2029693
"26",12,"male",2116260
"27",13,"female",2035757
"28",13,"male",2119558
"29",14,"female",2022552
"30",14,"male",2104753
"31",15,"female",2015751
"32",15,"male",2098809
"33",16,"female",2066782
"34",16,"male",2155909
"35",17,"female",2098704
"36",17,"male",2197871
"37",18,"female",2071758
"38",18,"male",2169468
"39",19,"female",2078174
"40",19,"male",2178434
"41",20,"female",2089336
"42",20,"male",2187409
"43",21,"female",2104329
"44",21,"male",2213975
"45",22,"female",2150615
"46",22,"male",2270148
"47",23,"female",2196524
"48",23,"male",2318784
"49",24,"female",2228689
"50",24,"male",2358826
"51",25,"female",2295484
"52",25,"male",2413370
"53",26,"female",2350352
"54",26,"male",2443974
"55",27,"female",2351456
"56",27,"male",2432679
"57",28,"female",2260383
"58",28,"male",2335023
"59",29,"female",2210555
"60",29,"male",2277184
"61",30,"female",2174279
"62",30,"male",2236352
"63",31,"female",2183649
"64",31,"male",2241759
"65",32,"female",2204770
"66",32,"male",2248948
"67",33,"female",2142863
"68",33,"male",2168114
"69",34,"female",2177520
"70",34,"male",2193958
"71",35,"female",2179052
"72",35,"male",2185895
"73",36,"female",2157640
"74",36,"male",2156347
"75",37,"female",2190170
"76",37,"male",2204181
"77",38,"female",2063849
"78",38,"male",2056619
"79",39,"female",2025301
"80",39,"male",2012943
"81",40,"female",2009156
"82",40,"male",1985267
"83",41,"female",1948683
"84",41,"male",1927055
"85",42,"female",2003193
"86",42,"male",1987507
"87",43,"female",1947353
"88",43,"male",1916102
"89",44,"female",1981873
"90",44,"male",1937184
"91",45,"female",2066554
"92",45,"male",2025025
"93",46,"female",2183846
"94",46,"male",2136737
"95",47,"female",2201202
"96",47,"male",2169762
"97",48,"female",2089271
"98",48,"male",2050739
"99",49,"female",2046810
"100",49,"male",2003912
"101",50,"female",2053593
"102",50,"male",1997485
"103",51,"female",2089015
"104",51,"male",2032379
"105",52,"female",2214239
"106",52,"male",2148966
"107",53,"female",2261664
"108",53,"male",2175762
"109",54,"female",2262401
"110",54,"male",2165590
"111",55,"female",2258814
"112",55,"male",2154452
"113",56,"female",2290060
"114",56,"male",2171286
"115",57,"female",2303341
"116",57,"male",2190232
"117",58,"female",2232903
"118",58,"male",2102988
"119",59,"female",2222318
"120",59,"male",2081562
"121",60,"female",2202546
"122",60,"male",2047375
"123",61,"female",2128409
"124",61,"male",1963253
"125",62,"female",2111180
"126",62,"male",1938979
"127",63,"female",2032205
"128",63,"male",1843702
"129",64,"female",1956079
"130",64,"male",1763974
"131",65,"female",1878995
"132",65,"male",1688983
"133",66,"female",1825058
"134",66,"male",1626011
"135",67,"female",1778116
"136",67,"male",1583631
"137",68,"female",1723919
"138",68,"male",1527330
"139",69,"female",1700425
"140",69,"male",1503913
"141",70,"female",1765955
"142",70,"male",1558707
"143",71,"female",1307666
"144",71,"male",1136177
"145",72,"female",1290521
"146",72,"male",1108765
"147",73,"female",1255382
"148",73,"male",1066091
"149",74,"female",1280269
"150",74,"male",1077532
"151",75,"female",1115294
"152",75,"male",923942
"153",76,"female",1019726
"154",76,"male",827432
"155",77,"female",959502
"156",77,"male",769612
"157",78,"female",894185
"158",78,"male",713055
"159",79,"female",853738
"160",79,"male",664775
"161",80,"female",782413
"162",80,"male",596081
"163",81,"female",741699
"164",81,"male",552132
"165",82,"female",706475
"166",82,"male",510165
"167",83,"female",626409
"168",83,"male",441701
"169",84,"female",599235
"170",84,"male",408980
